195.246.230.132:443#IS [268.54ms]
47.250.124.22:443#MY [225.99ms]
212.60.4.134:443#BY [1258.95ms]
43.133.232.228:8443#KR [254.53ms]
92.113.146.87:443#DK [202.82ms]
45.148.31.227:443#DK [210.86ms]
180.149.45.58:443#AZ [342.54ms]
181.215.15.26:443#GE [355.9ms]
185.146.234.91:443#IS [226.3ms]
195.246.230.125:443#IS [279.99ms]
45.153.48.132:443#DK [224.29ms]
193.180.213.29:8443#DK [232.75ms]
89.147.111.223:2053#IS [305.98ms]
80.71.159.199:8443#BY [235.81ms]
193.180.215.69:443#DK [235.93ms]
193.180.213.30:2087#DK [249.39ms]
92.113.145.132:443#DK [233.88ms]
185.179.82.201:443#BY [267.6ms]
185.205.187.139:443#CY [235.65ms]
193.180.213.30:8443#DK [254.01ms]
45.153.48.157:443#DK [273.03ms]
194.55.164.118:443#CY [261.32ms]
194.68.32.99:443#NO [239.61ms]
195.54.170.66:8443#NO [244.04ms]
89.185.81.54:443#NO [1296.69ms]
92.113.149.70:443#DK [213.96ms]
194.5.98.17:443#NO [299.64ms]
2.56.206.114:2053#AM [287.26ms]
195.144.24.134:443#MK [1310.31ms]
38.54.42.124:443#BD [1317.74ms]
194.5.98.105:8443#NO [317.69ms]
194.5.98.105:2053#NO [299.14ms]
195.242.118.18:443#VG [232.98ms]
77.91.68.239:443#AM [268.18ms]
2.56.204.183:443#AM [1302.96ms]
37.9.171.189:443#SK [301.33ms]
91.242.163.179:8443#SK [1320.93ms]
38.54.29.210:2053#GR [324.26ms]
47.83.139.13:8443#CN [1094.88ms]
61.245.10.8:443#PH [401.69ms]
64.177.68.51:443#IL [273.49ms]
77.91.69.141:2053#IL [273.94ms]
80.178.58.56:443#IL [275.79ms]
77.91.69.141:8443#IL [1275.48ms]
64.176.15.110:2053#CL [358.4ms]
91.185.215.214:443#SI [310.32ms]
91.219.237.49:443#HU [199.36ms]
91.219.236.202:8443#HU [244.5ms]
89.46.236.145:443#RS [1234.58ms]
